date,open_price,high_price,low_price,close_price,volume,7_day_avg,30_day_avg,day_of_week
2025-12-15,280.15,280.15,272.84,274.11,50409078,,,0
2025-12-16,272.82,275.5,271.79,274.61,37648628,,,1
2025-12-17,275.01,276.16,271.64,271.84,50138743,,,2
2025-12-18,273.605,273.63,266.95,272.19,51630721,,,3
2025-12-19,272.145,274.6,269.9,273.67,144632048,,,4
2025-12-22,272.86,273.88,270.505,270.97,36571827,,,0
2025-12-23,270.84,272.5,269.56,272.36,29641999,272.82142857142856,,1
2025-12-24,272.34,275.43,272.195,273.81,17910574,272.7785714285714,,2
2025-12-26,274.16,275.37,272.86,273.4,21521802,272.60571428571427,,4
2025-12-29,272.69,274.36,272.35,273.76,23715213,272.88,,0
2025-12-30,272.81,274.08,272.28,273.08,22139617,273.00714285714287,,1
2025-12-31,273.06,273.68,271.75,271.86,27293639,272.74857142857144,,2
2026-01-02,272.255,277.84,269.0,271.01,37838054,272.7542857142857,,4
2026-01-05,270.64,271.51,266.14,267.26,45647190,272.0257142857143,,0
2026-01-06,267.0,267.55,262.12,262.36,52352090,270.39,,1
2026-01-07,263.2,263.68,259.81,260.33,48309804,268.5228571428571,,2
2026-01-08,257.02,259.29,255.7,259.04,50419337,266.42,,3
2026-01-09,259.075,260.21,256.22,259.37,39996967,264.4614285714286,,4
2026-01-12,259.16,261.3,256.8,260.25,45263767,262.80285714285714,,0
2026-01-13,258.72,261.81,258.39,261.05,45730847,261.38,,1
2026-01-14,259.49,261.82,256.71,259.96,40019421,260.33714285714285,,2
2026-01-15,260.65,261.04,257.05,258.21,39388564,259.7442857142857,,3
2026-01-16,257.9,258.9,254.93,255.53,72142773,259.05857142857144,,4
2026-01-20,252.73,254.79,243.42,246.7,77280987,257.29571428571427,,1
2026-01-21,248.7,251.56,245.18,247.65,54641725,255.62142857142857,,2
2026-01-22,249.2,251.0,248.15,248.35,39708340,253.92142857142858,,3
2026-01-23,247.32,249.41,244.68,248.04,41688982,252.06285714285715,,4
2026-01-26,251.48,256.56,249.8,255.41,55969234,251.41285714285715,,0
2026-01-27,259.17,261.95,258.21,258.27,48787855,251.42142857142855,,1
2026-01-28,257.65,258.855,254.51,256.44,41287971,251.55142857142854,263.69633333333337,2
2026-01-29,258.0,259.65,254.41,258.28,67253009,253.20571428571427,263.1686666666667,3
2026-01-30,255.165,261.8999,252.18,259.48,92443408,254.8957142857143,262.66433333333333,4
2026-02-02,260.03,270.49,259.205,270.01,73913425,257.98999999999995,262.6033333333333,0
2026-02-03,269.2,271.875,267.61,269.48,63799388,261.05285714285714,262.51300000000003,1
2026-02-04,272.285,278.95,272.285,276.49,90545710,264.0642857142857,262.607,2
2026-02-05,278.13,279.5,273.23,275.91,52977441,266.5842857142857,262.77166666666665,3
2026-02-06,277.12,280.905,276.925,278.12,50453414,269.68142857142857,262.96366666666665,4
2026-02-09,277.905,278.2,271.7,274.62,44623396,272.0157142857143,262.99066666666664,0
2026-02-10,274.885,275.37,272.94,273.68,34376898,274.04428571428576,263.0,1
2026-02-11,274.695,280.18,274.45,275.5,51931283,274.8285714285715,263.058,2
2026-02-12,275.59,275.72,260.18,261.73,81077229,273.7214285714286,262.67966666666666,3
2026-02-13,262.01,262.23,255.45,255.78,56290673,270.7628571428572,262.14366666666666,4
2026-02-17,258.05,266.29,255.54,263.88,58469094,269.0442857142857,261.906,1
2026-02-18,263.6,266.82,262.45,264.35,34203337,267.07714285714286,261.80899999999997,2
2026-02-19,262.6,264.48,260.05,260.58,30845294,265.07142857142856,261.74966666666666,3
2026-02-20,258.97,264.75,258.16,264.58,42070499,263.7714285714286,261.8913333333333,4
2026-02-23,263.49,269.43,263.381,266.18,37308155,262.44,262.12933333333336,0
2026-02-24,267.86,274.89,267.71,272.14,47014619,263.9271428571429,262.555,1
2026-02-25,271.78,274.94,271.05,274.23,33714342,266.5628571428571,263.021,2
2026-02-26,274.945,276.11,270.795,272.95,32345114,267.8585714285714,263.41766666666666,3
2026-02-27,272.81,272.81,262.89,264.18,72366505,267.8342857142857,263.55833333333334,4
2026-03-02,262.41,266.53,260.2,264.72,41827946,268.42571428571426,263.7753333333333,0
2026-03-03,263.48,265.56,260.13,263.75,38568921,268.3071428571429,264.0493333333333,1
2026-03-04,264.65,266.15,261.42,262.52,39803119,267.7842857142857,264.57666666666665,2
2026-03-05,260.79,261.555,257.25,260.29,49658626,266.09142857142854,264.998,3
2026-03-06,258.63,258.77,254.37,257.46,41120042,263.69571428571425,265.3016666666667,4
2026-03-09,255.69,261.15,253.6805,259.88,38218533,261.8285714285715,265.69633333333337,0
2026-03-10,257.645,262.48,256.95,260.83,30590765,261.35,265.877,1
2026-03-11,261.09,262.13,259.55,260.81,26218927,260.7914285714286,265.9616666666667,2
2026-03-12,258.66,258.95,254.18,255.76,40794020,259.65,265.939,3
2026-03-13,255.48,256.33,249.52,250.12,36929988,257.87857142857143,265.66700000000003,4
2026-03-16,252.105,253.885,249.88,252.82,32074209,256.81142857142856,265.445,0
2026-03-17,252.955,255.13,252.18,254.23,32361607,256.35,264.919,1
2026-03-18,252.625,254.94,249.0,249.94,35757874,254.93,264.2676666666667,2
2026-03-19,249.4,251.83,247.3,248.96,34864082,253.2342857142857,263.35,3
2026-03-20,247.975,249.1999,246.0,247.99,88331081,251.40285714285716,262.4193333333333,4
2026-03-23,253.97,254.6,250.28,251.49,40546109,250.79285714285717,261.53166666666664,0
2026-03-24,250.35,254.825,249.55,251.64,45152288,251.01,260.7656666666667,1
2026-03-25,254.095,255.0,251.6,252.62,28476668,250.98142857142855,260.0636666666667,2
2026-03-26,252.115,257.0,250.77,252.89,41796650,250.79,259.31,3
2026-03-27,253.9,255.493,248.07,248.8,47899998,250.62714285714284,258.879,4
2026-03-30,250.07,250.87,245.51,246.63,39446213,250.2942857142857,258.57399999999996,0
2026-03-31,247.91,255.48,247.101,253.79,49598091,251.12285714285716,258.23766666666666,1
2026-04-01,254.08,256.18,253.33,255.63,40059432,251.7142857142857,257.947,2
2026-04-02,254.2,256.13,250.65,255.92,31289369,252.32571428571427,257.7916666666667,3
2026-04-06,256.51,262.16,256.46,258.86,29329911,253.21714285714285,257.601,0
2026-04-07,256.155,256.2,245.7,253.5,62148008,253.30428571428573,257.17833333333334,1
2026-04-08,258.45,259.7499,256.53,258.9,41032772,254.74714285714285,256.73699999999997,2
2026-04-09,259.0,261.12,256.07,260.49,28121574,256.72714285714284,256.279,3
2026-04-10,259.98,262.19,259.0231,260.48,31291473,257.68285714285713,255.86333333333334,4
2026-04-13,259.73,260.18,256.66,259.2,36234698,258.1928571428572,255.69733333333335,0
2026-04-14,259.245,261.93,257.19,258.83,48370710,258.60857142857145,255.501,1
2026-04-15,258.16,266.56,257.81,266.43,49913510,259.69,255.59033333333335,2
2026-04-16,266.8,267.16,261.27,263.4,43323112,261.1042857142857,255.61966666666666,3
2026-04-17,266.96,272.3,266.72,270.23,61436228,262.72285714285715,255.95100000000002,4
2026-04-20,270.33,274.275,270.29,273.05,36590169,264.51714285714286,256.47066666666666,0
2026-04-21,271.5,272.8,265.4,266.17,50209755,265.33,256.68033333333335,1
2026-04-22,267.82,273.74,266.87,273.17,43249204,267.3257142857143,257.09166666666664,2
2026-04-23,275.045,275.77,271.65,273.43,33399639,269.4114285714286,257.51233333333334,3
2026-04-24,272.755,273.06,269.65,271.06,38157110,270.0728571428571,258.02233333333334,4
2026-04-27,266.09,268.36,265.07,267.61,41466762,270.67428571428576,258.6053333333333,0
2026-04-28,272.335,273.23,268.66,270.71,40018940,270.74285714285713,259.20166666666665,1
2026-04-29,267.55,271.04,267.04,270.17,30047869,270.3314285714286,259.733,2
