date,1. open,2. high,3. low,4. close,5. volume
2026-05-08,290.0100,294.7600,290.0000,293.3200,52692761
2026-05-07,289.2700,292.1300,285.7800,287.4400,45224300
2026-05-06,281.9150,288.0300,281.0700,287.5100,58336072
2026-05-05,276.9250,284.5700,276.5010,284.1800,49311712
2026-05-04,279.6550,280.6300,274.8601,276.8300,46668401
2026-05-01,278.8550,287.2200,278.3700,280.1400,79915442
2026-04-30,270.5000,276.0000,268.1400,271.3500,91848230
2026-04-29,267.5500,271.0400,267.0400,270.1700,30047869
2026-04-28,272.3350,273.2300,268.6600,270.7100,40018940
2026-04-27,266.0900,268.3600,265.0700,267.6100,41466762
2026-04-24,272.7550,273.0600,269.6500,271.0600,38157110
2026-04-23,275.0450,275.7700,271.6500,273.4300,33399639
2026-04-22,267.8200,273.7400,266.8700,273.1700,43249204
2026-04-21,271.5000,272.8000,265.4000,266.1700,50209755
2026-04-20,270.3300,274.2750,270.2900,273.0500,36590169
2026-04-17,266.9600,272.3000,266.7200,270.2300,61436228
2026-04-16,266.8000,267.1600,261.2700,263.4000,43323112
2026-04-15,258.1600,266.5600,257.8100,266.4300,49913510
2026-04-14,259.2450,261.9300,257.1900,258.8300,48370710
2026-04-13,259.7300,260.1800,256.6600,259.2000,36234698
2026-04-10,259.9800,262.1900,259.0231,260.4800,31291473
2026-04-09,259.0000,261.1200,256.0700,260.4900,28121574
2026-04-08,258.4500,259.7499,256.5300,258.9000,41032772
2026-04-07,256.1550,256.2000,245.7000,253.5000,62148008
2026-04-06,256.5100,262.1600,256.4600,258.8600,29329911
2026-04-02,254.2000,256.1300,250.6500,255.9200,31289369
2026-04-01,254.0800,256.1800,253.3300,255.6300,40059432
2026-03-31,247.9100,255.4800,247.1010,253.7900,49598091
2026-03-30,250.0700,250.8700,245.5100,246.6300,39446213
2026-03-27,253.9000,255.4930,248.0700,248.8000,47899998
2026-03-26,252.1150,257.0000,250.7700,252.8900,41796650
2026-03-25,254.0950,255.0000,251.6000,252.6200,28476668
2026-03-24,250.3500,254.8250,249.5500,251.6400,45152288
2026-03-23,253.9700,254.6000,250.2800,251.4900,40546109
2026-03-20,247.9750,249.1999,246.0000,247.9900,88331081
